CPF_Number,Operator_ID,Operator_Name,Operator_Searchable_Name,Region,Pipeline_Type,How_Discovered?,Case_Type,Notice_Actions,Cited_Regulations,Violation_Category,Proposed_Penalties,Assessed_Penalties,Collected_Penalties,Case_Status,Opened_Date,Latest_Order_Type,Latest_Order_Date,Closed_Date,Notice_Sent_Date,Operator_Response_Date,Operator_Request_Hearing_Date,Hearing_Date,Final_Order_Date,Petition_for_Reconsideration_Date,Decision_on_Petition_Date,Consent_Order_Date,Corrective_Action_Order_Date,Order_Direct_Amendment_Date,Safety_Order_Date,Penalty_Collected_Date,Region_Withdrawn_Date,Opened_Year,Closed_Year,Order_Issued_Ind,Final_Order_Ind,Petition_for_Reconsideration_Ind,Decision_on_Petition_Ind,Consent_Order_Ind,Corrective_Action_Order_Ind,Order_Direct_Amendment_Ind,Safety_Order_Ind,Penalty_Collected_Ind,Case_Closure_Ind,Proposed_Civil_Penalty_Ind,Proposed_Compliance_Order_Ind,Penalty_Reduction_Ind,Basis_for_penalty_reduction,Report_Type,Report_Number,WMS_Activity_Seq,Data_Source,Data_as_of
32025001NOPV,40010,CALIBER SPRING CREEK LLC,CALIBER SPRING CREEK LLC,Central,INTRASTATE LIQUID,Control Room Management,Notice of Probable Violation,"CO, CP, WI","195.402(a),  195.444(b),  195.446(a),  195.446(c)(1),  195.446(c)(2),  195.446(c)(3),  195.446(c)(4),  195.446(d)(1),  195.446(e)(2),  195.446(e)(6),  195.452(a),  195.452(i)(3)","Control Room Management,  Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance",95600,,95600,OPEN,6/26/25,,,,6/26/25,7/24/25,,,,,,,,,,7/31/25,,2025,,,,,,,,,,Yes,,Yes,Yes,,,,,22-236545,WMS,09/03/2025 9:00 AM
32025007NOPV,21252,VIKING GAS TRANSMISSION CO,VIKING GAS TRANSMISSION CO,Central,INTERSTATE GAS TRANSMISSION,Integrated,Notice of Probable Violation,"CO, CP, WI","191.22(c)(1)(i),  192.605(a),  192.907(a),  192.935(a)","Integrity Management,  OME Procedural Manual,  Reporting",53900,,,OPEN,6/25/25,,,,6/25/25,7/25/25,,,,,,,,,,,,2025,,,,,,,,,,,,Yes,Yes,,,,,23-264832,WMS,09/03/2025 9:00 AM
32025005NOA,32147,MARATHON PIPE LINE LLC,MARATHON PIPE LINE LLC,Central,"INTERSTATE LIQUID, INTRASTATE LIQUID",Control Room Management,Notice of Amendment,NOA,"195.446(a),  195.446(c)(2),  195.446(c)(3),  195.446(c)(4),  195.446(e)(3)",Control Room Management,,,,OPEN,6/16/25,,,,6/16/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,23-264547,WMS,09/03/2025 9:00 AM
32025008NOPV,39043,"TALLGRASS PONY EXPRESS PIPELINE, LLC","TALLGRASS PONY EXPRESS PIPELINE, LLC",Central,"INTERSTATE LIQUID, INTRASTATE LIQUID",Integrated,Notice of Probable Violation,"CO, CP, WI","195.307(c),  195.402(a),  195.402(d)(1)(iv),  195.452(d)(1),  195.583(b)","Corrosion Control,  Integrity Management,  OME Procedural Manual,  Pressure Testing",39100,,,OPEN,6/16/25,,,,6/16/25,7/16/25,7/16/25,,,,,,,,,,,2025,,,,,,,,,,,,Yes,Yes,,,,,23-264835,WMS,09/03/2025 9:00 AM
32025025WL,19235,"TEXAS EASTERN TRANSMISSION, LP","TEXAS EASTERN TRANSMISSION, LP",Central,INTERSTATE GAS TRANSMISSION,Integrated,Warning Letter,WI,"192.603(b),  192.709(c)",Operation and/or Maintenance,,,,CLOSED,6/6/25,,,6/6/25,6/6/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-297371,WMS,09/03/2025 9:00 AM
52025001WL,39050,"CASPER CRUDE TO RAIL, LLC","CASPER CRUDE TO RAIL, LLC",Western,INTERSTATE LIQUID,Integrated,Warning Letter,WI,195.573(d),Corrosion Control,,,,CLOSED,6/2/25,,,6/2/25,6/2/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-297230,WMS,09/03/2025 9:00 AM
12025014WL,13063,NATIONAL FUEL GAS SUPPLY CORP,NATIONAL FUEL GAS SUPPLY CORP,Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,192.12(b)(2),Transportation of Gas,,,,CLOSED,5/30/25,,,5/30/25,5/30/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-296378,WMS,09/03/2025 9:00 AM
12025001NOPV,1845,"BUCKEYE PARTNERS, LP","BUCKEYE PARTNERS, LP",Eastern,INTERSTATE LIQUID,First Operating,Notice of Probable Violation,CO,"195.214(a),  195.222(a),  195.222(b),  195.228(a),  195.234(e)(5)",Construction,,,,OPEN,5/30/25,,,,5/30/25,7/11/25,,,,,,,,,,,,2025,,,,,,,,,,,,,Yes,,,,,23-265078,WMS,09/03/2025 9:00 AM
12025019WL,405,ANR PIPELINE CO,ANR PIPELINE CO,Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,"192.12(b)(2),  192.12(c)",Transportation of Gas,,,,CLOSED,5/29/25,,,5/29/25,5/29/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-296372,WMS,09/03/2025 9:00 AM
42025028NOA,40329,NAVIGATOR PANHANDLE HOLDCO LLC,NAVIGATOR PANHANDLE HOLDCO LLC,Southwest,INTERSTATE LIQUID,Integrated,Notice of Amendment,NOA,"195.402(c)(3),  195.402(c)(5),  195.417(a),  195.420(f),  195.452(b)(1),  195.452(c)(1)(i)","Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance",,,,OPEN,5/29/25,,,,5/29/25,6/26/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,23-266706,WMS,09/03/2025 9:00 AM
12025015WL,40386,DTM GAS STORAGE COMPANY,DTM GAS STORAGE COMPANY,Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,"192.12(b)(2),  192.12(c)",Transportation of Gas,,,,CLOSED,5/29/25,,,5/29/25,5/29/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-296375,WMS,09/03/2025 9:00 AM
32025020NOA,18678,ST LOUIS PIPELINE OPERATING LLC,ST LOUIS PIPELINE OPERATING LLC,Central,INTERSTATE LIQUID,Integrated,Notice of Amendment,NOA,"195.254(b),  195.260(a),  195.260(b),  195.260(c),  195.260(f),  195.406(a),  195.418(a),  195.422(a),  195.452(f)(3),  195.577(a)","Construction,  Corrosion Control,  Integrity Management,  Operation and/or Maintenance",,,,OPEN,5/29/25,,,,5/29/25,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-297350,WMS,09/03/2025 9:00 AM
12025003WL,15105,PANHANDLE EASTERN PIPELINE CO,PANHANDLE EASTERN PIPELINE CO,Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,192.12(b)(2),Transportation of Gas,,,,CLOSED,5/28/25,,,5/28/25,5/28/25,7/1/25,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-296382,WMS,09/03/2025 9:00 AM
12025012WL,19235,"TEXAS EASTERN TRANSMISSION, LP","TEXAS EASTERN TRANSMISSION, LP",Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,192.12(b)(2),Transportation of Gas,,,,CLOSED,5/28/25,,,5/28/25,5/28/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-296371,WMS,09/03/2025 9:00 AM
12025007WL,4060,ENBRIDGE GAS OHIO,ENBRIDGE GAS OHIO,Eastern,INTRASTATE UNDERGROUND NG STORAGE,Construction,Warning Letter,WI,192.12(c),Transportation of Gas,,,,CLOSED,5/23/25,,,5/23/25,5/23/25,6/19/25,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-303764,WMS,09/03/2025 9:00 AM
42025001NOA,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,VALERO TERMINALING AND DISTRIBUTION COMPANY,Southwest,INTERSTATE LIQUID,Integrated,Notice of Amendment,NOA,"195.452(b)(1),  195.452(b)(4),  195.452(f)(3)",Integrity Management,,,,CLOSED,5/22/25,,,7/29/25,5/22/25,6/9/25,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-296561,WMS,09/03/2025 9:00 AM
42025048NOA,31130,"DCP MIDSTREAM, LP","DCP MIDSTREAM, LP",Southwest,INTERSTATE GAS TRANSMISSION,GRIT,Notice of Amendment,NOA,"192.605(b)(1),  192.710(a),  192.710(f),  192.711(a),  192.711(c),  192.712(g)(1),  192.712(g)(19)","OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,5/21/25,,,7/23/25,5/21/25,6/16/25,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-296557,WMS,09/03/2025 9:00 AM
12025025WL,31442,DOUGLAS PIPELINE CO,DOUGLAS PIPELINE CO,Eastern,INTERSTATE GAS TRANSMISSION,Integrated,Warning Letter,WI,192.616(a),Public Awareness,,,,CLOSED,5/21/25,,,5/21/25,5/21/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-295885,WMS,09/03/2025 9:00 AM
12025022NOA,26041,"KINDER MORGAN LIQUID TERMINALS, LLC","KINDER MORGAN LIQUID TERMINALS, LLC",Eastern,"INTERSTATE LIQUID, INTRASTATE LIQUID",Specialized,Notice of Amendment,NOA,195.402(c)(3),OME Procedural Manual,,,,CLOSED,5/21/25,,,7/1/25,5/21/25,6/19/25,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-295891,WMS,09/03/2025 9:00 AM
32025013NOA,32147,MARATHON PIPE LINE LLC,MARATHON PIPE LINE LLC,Central,"INTERSTATE LIQUID, INTRASTATE LIQUID",Integrated,Notice of Amendment,NOA,"195.401(b)(3),  195.402(c)(13),  195.414(d)(4),  195.414(d)(5),  195.414(d)(6),  195.420(b),  195.452(h)(1)(ii)","Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance",,,,OPEN,5/20/25,,,,5/20/25,8/1/25,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,24-299107,WMS,09/03/2025 9:00 AM
12025018WL,1845,"BUCKEYE PARTNERS, LP","BUCKEYE PARTNERS, LP",Eastern,INTERSTATE LIQUID,Failure Investigation,Warning Letter,WI,195.55(a)(6),Reporting,,,,CLOSED,5/20/25,,,5/20/25,5/20/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,Incident Report,Hazardous Liquid - 20230062,23-268982,WMS,09/03/2025 9:00 AM
32025015NOA,12408,DTE GAS COMPANY,DTE GAS COMPANY,Central,INTERSTATE GAS TRANSMISSION,Integrated,Notice of Amendment,NOA,"192.463(a),  192.921(a)(1)","Corrosion Control,  Integrity Management",,,,CLOSED,5/20/25,,,7/7/25,5/20/25,6/13/25,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-299898,WMS,09/03/2025 9:00 AM
12025011WL,32034,"NGO TRANSMISSION, INC.","NGO TRANSMISSION, INC.",Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,192.12(d)(4),Transportation of Gas,,,,CLOSED,5/20/25,,,5/20/25,5/20/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-295906,WMS,09/03/2025 9:00 AM
32025002WL,40855,SPIRE MOGAS PIPELINE LLC,SPIRE MOGAS PIPELINE LLC,Central,INTERSTATE GAS TRANSMISSION,Control Room Management,Warning Letter,WI,"192.631(a)(1),  192.631(c)(1),  192.631(c)(2),  192.631(c)(4),  192.631(h)(6)",Control Room Management,,,,CLOSED,5/19/25,,,5/19/25,5/19/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,22-237906,WMS,09/03/2025 9:00 AM
42025002NOPV,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,VALERO TERMINALING AND DISTRIBUTION COMPANY,Southwest,INTERSTATE LIQUID,Integrated,Notice of Probable Violation,CO,"195.403(b)(1),  195.403(c),  195.583(c)","Corrosion Control,  Operation and/or Maintenance",,,,OPEN,5/15/25,Final Order,7/22/25,,5/15/25,6/9/25,,,7/22/25,,,,,,,,,2025,,Yes,Yes,,,,,,,,,,Yes,,,,,24-296561,WMS,09/03/2025 9:00 AM
12025010NOA,32034,"NGO TRANSMISSION, INC.","NGO TRANSMISSION, INC.",Eastern,INTERSTATE UNDERGROUND NG STORAGE,Standard,Notice of Amendment,NOA,"192.12(c),  192.12(d)(1)(i),  192.12(d)(2),  192.12(d)(4)",Transportation of Gas,,,,CLOSED,5/9/25,,,7/11/25,5/9/25,6/6/25,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-295906,WMS,09/03/2025 9:00 AM
32025026WL,31579,"MAGELLAN PIPELINES HOLDINGS, LP","MAGELLAN PIPELINES HOLDINGS, LP",Central,INTERSTATE LIQUID,Integrated,Warning Letter,WI,195.402(a),OME Procedural Manual,,,,CLOSED,5/8/25,,,5/8/25,5/8/25,,,,,,,,,,,,,2025,2025,,,,,,,,,,Yes,,,,,,,24-297309,WMS,09/03/2025 9:00 AM
